id,question_text,option_a,option_b,option_c,option_d,correct_option
1,What is the output of print(2 ** 3) in Python?,6,8,9,16,B
2,Which data structure uses FIFO?,Stack,Queue,Tree,Graph,B
3,What does HTML stand for?,Hyper Trainer Marking Language,Hyper Text Markup Language,Hyper Text Markdown Language,High Text Machine Language,B
4,Which keyword is used to create a function in Python?,func,function,def,define,C
5,Which of these is a correct variable name in C?,1value,_value,@value,#value,B
6,Which of these is not a programming language?,Python,Java,HTML,Swift,C
7,Which loop is guaranteed to execute at least once?,for,while,do-while,foreach,C
8,Which operator is used for assignment in C++?,==,=,:=,===,B
9,What is the time complexity of binary search?,O(n),O(log n),O(n log n),O(1),B
10,What is the purpose of SQL?,Design webpages,Style HTML,Manage databases,Send emails,C
11,Which language is used for web page structure?,CSS,HTML,JavaScript,Python,B
12,Which sorting algorithm is best on average?,Bubble Sort,Quick Sort,Selection Sort,Insertion Sort,B
13,Which of the following is a Python data type?,tuple,set,list,All of these,D
14,Which file extension is used for Python?,.py,.java,.js,.html,A
15,Which keyword is used to stop a loop in Python?,exit,stop,break,return,C
16,Which of the following is a loop structure in C?,if,switch,for,case,C
17,What is the extension of a C++ file?,.c,.cpp,.py,.java,B
18,What is used to define a class in Python?,object,class,define,init,B
19,Which of the following is used to comment a single line in Python?,//,#,<!-->,--,B
20,What is the default value of an uninitialized int variable in C?,0,-1,undefined,null,C
21,Which HTML tag is used to link an external CSS file?,<link>,<script>,<style>,<css>,A
22,What is the output of: print(len("Quiz"))?,3,4,5,2,B
23,Which of these is a backend language?,HTML,CSS,Python,B
24,Which method is used to add an element to a list in Python?,add(),append(),insert(),push(),B
25,Which function is used to get input from the user in Python?,scanf(),cin,input(),read(),C
26,Which of these is used to declare a constant in C?,#const,#define,const,constant,B
27,Which one is not a looping keyword?,continue,break,exit,elif,D
28,Which is the correct syntax to create a dictionary in Python?,{},[],(),<> ,A
29,Which of these is not a valid operator in C?,++,--,^^,==,C
30,Which of these is a valid way to start an HTML document?,<html>,<doctype>,<!DOCTYPE html>,<start>,C
31,Which keyword is used for inheritance in Python?,inherits,extends,super,class,C
32,Which symbol is used to access members of a class in C++?,.,->,::,**,B
33,What is the output of 3 == '3' in Python?,True,False,Error,None,B
34,Which one is used for function overloading?,Python,C++,HTML,SQL,B
35,Which data type is immutable in Python?,list,dict,set,tuple,D
36,Which keyword is used to create an object in C++?,make,create,new,init,C
37,Which SQL command is used to retrieve data?,GET,SHOW,SELECT,FETCH,C
38,In HTML, which tag is used to insert an image?,<img>,<image>,<pic>,<src>,A
39,Which operator is used for logical AND in Python?,and,&&,AND,&,A
40,Which data structure uses LIFO?,Stack,Queue,List,Array,A
41,Which of these is a Python loop structure?,for,repeat,until,loop,A
42,Which of these is a frontend language?,Java,Python,HTML,MySQL,C
43,Which HTML tag is used to create a hyperlink?,<a>,<link>,<href>,<nav>,A
44,What is the result of 10 % 3 in Python?,3,0,1,10,C
45,Which keyword is used to handle exceptions in Python?,try,catch,except,handle,C
46,Which function is used to get length of a list in Python?,size(),count(),length(),len(),D
47,Which of the following is used to close a file in Python?,file.end(),file.close(),file.stop(),file.quit(),B
48,What is the use of 'return' keyword in functions?,stop program,exit loop,output value,jump line,C
49,Which keyword creates a class in C++?,class,struct,object,define,A
50,What does SQL stand for?,Structured Question Language,Simple Query Language,Structured Query Language,System Query Language,C
51,Which of the following is not a valid loop in Python?,for,while,loop,do-while,D
52,Which function adds an item to a set in Python?,add(),append(),push(),insert(),A
53,Which is the default port for HTTP?,21,80,443,22,B
54,Which tag is used for unordered list in HTML?,<ul>,<li>,<ol>,<list>,A
55,What is the keyword for defining a constructor in Python?,init,def,construct,__init__,D
56,Which method is used to remove last item from a list in Python?,remove(),pop(),del(),clear(),B
57,Which command is used to check Git status?,git commit,git log,git status,git add,C
58,Which of the following is a markup language?,Java,C++,HTML,Python,C
59,Which function is used to round off a number in Python?,int(),round(),ceil(),floor(),B
60,Which of the following is not an IDE?,PyCharm,VScode,Notepad++,Google,B


